 Eigenvectors and eigenvalues of the dynamical matrix
 ----------------------------------------------------
 
 
   1 f  =   64.289200 THz   403.940959 2PiTHz 2144.456831 cm-1   265.878857 meV
             X         Y         Z           dx          dy          dz
      0.000012  2.245276  2.842894    -0.000000    0.000000   -0.024692  
      1.944485  1.122634  2.124276    -0.000000    0.000000   -0.024705  
      0.000010  2.245271  4.343490    -0.000003    0.000006    0.694619  
      1.944482  1.122629  0.623621     0.000000    0.000008    0.695155  
 
   2 f  =   63.723327 THz   400.385475 2PiTHz 2125.581343 cm-1   263.538593 meV
             X         Y         Z           dx          dy          dz
      0.000012  2.245276  2.842894    -0.000000   -0.000000   -0.023701  
      1.944485  1.122634  2.124276     0.000000    0.000000    0.023677  
      0.000010  2.245271  4.343490    -0.000003   -0.000005    0.696136  
      1.944482  1.122629  0.623621     0.000001   -0.000000   -0.695610  
 
   3 f  =   21.662000 THz   136.106361 2PiTHz  722.566528 cm-1    89.586864 meV
             X         Y         Z           dx          dy          dz
      0.000012  2.245276  2.842894    -0.041529    0.004265   -0.000000  
      1.944485  1.122634  2.124276     0.041522   -0.004264    0.000000  
      0.000010  2.245271  4.343490     0.668240   -0.068643    0.000003  
      1.944482  1.122629  0.623621    -0.667951    0.068598    0.000000  
 
   4 f  =   21.658376 THz   136.083588 2PiTHz  722.445630 cm-1    89.571874 meV
             X         Y         Z           dx          dy          dz
      0.000012  2.245276  2.842894    -0.004269   -0.041552   -0.000003  
      1.944485  1.122634  2.124276     0.004266    0.041545    0.000003  
      0.000010  2.245271  4.343490     0.068657    0.668220    0.000001  
      1.944482  1.122629  0.623621    -0.068572   -0.667890    0.000002  
 
   5 f  =   15.492517 THz    97.342357 2PiTHz  516.774733 cm-1    64.071924 meV
             X         Y         Z           dx          dy          dz
      0.000012  2.245276  2.842894     0.024632   -0.003038    0.000004  
      1.944485  1.122634  2.124276     0.024422   -0.002992    0.000004  
      0.000010  2.245271  4.343490    -0.689342    0.084747    0.000001  
      1.944482  1.122629  0.623621    -0.690022    0.084812    0.000002  
 
   6 f  =   15.488638 THz    97.317985 2PiTHz  516.645350 cm-1    64.055883 meV
             X         Y         Z           dx          dy          dz
      0.000012  2.245276  2.842894    -0.003030   -0.024644    0.000001  
      1.944485  1.122634  2.124276    -0.003009   -0.024483    0.000001  
      0.000010  2.245271  4.343490     0.084745    0.689326   -0.000003  
      1.944482  1.122629  0.623621     0.084806    0.689965   -0.000009  
 
   7 f  =   14.580294 THz    91.610686 2PiTHz  486.346226 cm-1    60.299269 meV
             X         Y         Z           dx          dy          dz
      0.000012  2.245276  2.842894     0.001734    0.126705   -0.000002  
      1.944485  1.122634  2.124276    -0.001730   -0.126716    0.000002  
      0.000010  2.245271  4.343490     0.002986    0.221846   -0.000001  
      1.944482  1.122629  0.623621    -0.003094   -0.220804    0.000000  
 
   8 f  =   14.579098 THz    91.603172 2PiTHz  486.306336 cm-1    60.294323 meV
             X         Y         Z           dx          dy          dz
      0.000012  2.245276  2.842894     0.126708   -0.001733    0.000004  
      1.944485  1.122634  2.124276    -0.126728    0.001735   -0.000004  
      0.000010  2.245271  4.343490     0.221845   -0.003036    0.000005  
      1.944482  1.122629  0.623621    -0.220561    0.002989   -0.000004  
 
   9 f  =   11.522523 THz    72.398147 2PiTHz  384.349981 cm-1    47.653341 meV
             X         Y         Z           dx          dy          dz
      0.000012  2.245276  2.842894    -0.000004    0.000001    0.131277  
      1.944485  1.122634  2.124276     0.000004   -0.000001   -0.131340  
      0.000010  2.245271  4.343490    -0.000004    0.000019    0.125525  
      1.944482  1.122629  0.623621     0.000003   -0.000016   -0.125559  
 
  10 fi =    0.001730 THz     0.010872 2PiTHz    0.057719 cm-1     0.007156 meV
             X         Y         Z           dx          dy          dz
      0.000012  2.245276  2.842894    -0.014592   -0.130278    0.001482  
      1.944485  1.122634  2.124276    -0.014595   -0.130301    0.001481  
      0.000010  2.245271  4.343490    -0.014594   -0.130300    0.001481  
      1.944482  1.122629  0.623621    -0.014605   -0.130366    0.001481  
 
  11 fi =    0.003721 THz     0.023378 2PiTHz    0.124108 cm-1     0.015387 meV
             X         Y         Z           dx          dy          dz
      0.000012  2.245276  2.842894    -0.130289    0.014578   -0.001336  
      1.944485  1.122634  2.124276    -0.130311    0.014581   -0.001336  
      0.000010  2.245271  4.343490    -0.130111    0.014556   -0.001336  
      1.944482  1.122629  0.623621    -0.130172    0.014565   -0.001335  
 
  12 fi =    0.021086 THz     0.132490 2PiTHz    0.703369 cm-1     0.087207 meV
             X         Y         Z           dx          dy          dz
      0.000012  2.245276  2.842894    -0.001164    0.001621    0.131137  
      1.944485  1.122634  2.124276    -0.001164    0.001621    0.131077  
      0.000010  2.245271  4.343490    -0.001142    0.001614    0.130918  
      1.944482  1.122629  0.623621    -0.001144    0.001616    0.130830  
 
