# mode    freq(cm-1)    alpha    beta2    activity
001  2136.26689   0.0844907   0.1702297   1.5128483
002  2129.85283   3.2777276  134.8799984  1427.6174206
003   730.22949   0.0002957  59.9500517  419.6503656
004   726.99048   0.0015745  60.3731265  422.6119972
005   513.58776   0.0003040   0.0081515   0.0570650
006   511.84206   0.0002026   0.0090257   0.0631814
007   488.17592  -0.0007872  36.2188325  253.5318555
008   487.67125   0.0040520  35.7896189  250.5280710
009   384.10666  -2.1425234   2.2835821  222.5533599
010     0.13930   0.0002972   0.0000001   0.0000044
011     0.55404  -0.0009706   0.0000014   0.0000523
012     0.74333   0.0005386   0.0000006   0.0000175
